BRF3
3.049943816465951474e-01
2.851999500270316346e-01
2.724040689198619081e-01
2.655584068147987531e-01
2.640851541081262743e-01
2.674120419707162188e-01
3.436514522114457737e-01
2.671273829954611267e-01
2.632605538185663896e-01
2.643224259060098502e-01
2.697587215363557722e-01
2.808131729562289292e-01
2.979196327249386544e-01
